127.0.0.1, 2018-05-24 16:00:32, GET, /admin/pythonanywhere/deploy, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-05-24 16:00:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 16:00:57, POST, /admin/pythonanywhere/create_account, HTTP/1.1, 500, 0.038000
127.0.0.1, 2018-05-24 16:01:30, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-05-24 16:01:30, GET, /admin/default/site, HTTP/1.1, 200, 0.092000
127.0.0.1, 2018-05-24 16:01:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 16:04:30, GET, /admin/pythonanywhere/deploy, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-05-24 16:04:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 16:05:02, POST, /admin/pythonanywhere/create_account, HTTP/1.1, 500, 0.267000
127.0.0.1, 2018-05-24 16:05:08, GET, /admin/pythonanywhere/deploy, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-05-24 16:05:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 16:06:10, GET, /admin/default/index, HTTP/1.1, 303, 0.008000
127.0.0.1, 2018-05-24 16:06:10, GET, /admin/default/site, HTTP/1.1, 200, 0.088000
127.0.0.1, 2018-05-24 16:06:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 16:14:34, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.099000
127.0.0.1, 2018-05-24 16:14:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 16:14:43, GET, /app1/appadmin/d3_graph_model, HTTP/1.1, 200, 0.122000
127.0.0.1, 2018-05-24 16:14:43, GET, /app1/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2018-05-24 16:14:43, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.017000
127.0.0.1, 2018-05-24 16:14:43, GET, /app1/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-05-24 16:14:43, GET, /app1/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-05-24 16:14:43, GET, /app1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2018-05-24 16:14:44, GET, /admin/static/css/d3_graph.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/js/calendar.js, HTTP/1.1, 304, 0.013000

127.0.0.1, 2018-05-24 16:14:44, GET, /admin/static/js/d3_graph.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/js/share.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2018-05-24 16:14:44, GET, /admin/static/js/d3.min.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/images/twitter.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/images/facebook.png, HTTP/1.1, 304, 0.002000
